0	1
0	4
0	14
0	17
0	18
0	23
1	12
1	16
1	20
1	21
2	1
2	3
2	12
2	14
2	22
2	23
3	6
3	7
3	20
4	0
4	1
4	2
4	3
4	11
4	15
4	17
4	21
5	22
5	23
6	3
6	16
7	1
7	10
7	14
7	17
7	20
7	22
8	11
8	14
9	3
9	5
9	6
9	11
10	4
10	12
10	15
10	17
10	23
11	6
11	24
12	6
12	10
13	4
13	9
13	10
13	19
13	20
14	1
14	5
14	8
14	10
14	13
14	21
15	5
15	11
15	21
16	7
16	10
17	5
17	6
17	9
18	9
18	20
19	20
19	21
20	5
20	6
20	11
20	18
21	3
21	9
21	13
21	14
21	22
22	4
22	5
22	12
22	17
22	18
23	1
23	3
23	6
23	16
23	24
24	5
24	7
24	16
24	23
